instruction,test,-O,result
add.uw,mask,0,failed
add.uw,mask,123,passed
add.uw,shifts,0123,failed
bclr,pseudocode_32bit,0123,failed
bclr,pseudocode_64bit,0123,failed
bexti,pseudocode,0,failed
bexti,pseudocode,123,passed
bset,pseudocode,0123,failed
clmulh,pseudocode,0123,failed
clzw,builtin,0123,passed
clzw,pseudocode,0123,failed
cpop,1,0,failed
cpop,1,123,passed
ctz,builtin,0123,passed
ctz,pseudocode,0123,failed
maxu,pseudocode,0,failed
maxu,pseudocode,123,passed
maxu,ternary,0123,passed
orc.b,pseudocode,0123,failed
rol,pseudocode_32bit,0123,failed
rol,pseudocode_64bit,0123,failed
ror,pseudocode,0123,failed
sh2add,multiply200,0,failed
sh2add,multiply200,123,passed
sh2add,multiply40,0,failed
sh2add,multiply40,123,passed
sh2add,pseudocode,0,failed
sh2add,pseudocode,123,passed
sh3add.uw,multiply17,0123,failed
sh3add.uw,pseudocode,0,failed
sh3add.uw,pseudocode,123,passed
zext.h,pseudocode,0,failed
zext.h,pseudocode,123,passed
